feature_dim,auroc
hist32_d0,0.5881
hist32_d1,0.4249
hist32_d2,0.3441
hist32_d3,0.3001
hist32_d4,0.3138
hist32_d5,0.3456
hist32_d6,0.3767
hist32_d7,0.3979
hist32_d8,0.4021
hist32_d9,0.3866
hist32_d10,0.3862
hist32_d11,0.3993
hist32_d12,0.4071
hist32_d13,0.3919
hist32_d14,0.3712
hist32_d15,0.3371
hist32_d16,0.3043
hist32_d17,0.2897
hist32_d18,0.3053
hist32_d19,0.3717
hist32_d20,0.431
hist32_d21,0.4681
hist32_d22,0.5404
hist32_d23,0.6445
hist32_d24,0.6942
hist32_d25,0.6845
hist32_d26,0.6387
hist32_d27,0.5919
hist32_d28,0.5676
hist32_d29,0.5888
hist32_d30,0.6157
hist32_d31,0.6272
edge_ratio_d0,0.6071
edge_ratio_d1,0.6032
glcm_d0,0.6255
glcm_d1,0.5986
glcm_d2,0.3443
glcm_d3,0.4701
stats_d0,0.657
stats_d1,0.6362
stats_d2,0.3853
stats_d3,0.4851
fft_ratio_d0,0.4568
