arm,config,k,Q,full_k,L_f,stability_margin,anytime_gain,k_early,src
earlyexit_vit,a0plus_earlyexit_vit_vits_nih10k.yaml,1,0.9750433564186096,6,,,0.9944651126851628,4,anytime_a0plus_s42.csv
earlyexit_vit,a0plus_earlyexit_vit_vits_nih10k.yaml,2,0.9864994287490844,6,,,0.9944651126851628,4,anytime_a0plus_s42.csv
earlyexit_vit,a0plus_earlyexit_vit_vits_nih10k.yaml,3,0.9915496110916138,6,,,0.9944651126851628,4,anytime_a0plus_s42.csv
earlyexit_vit,a0plus_earlyexit_vit_vits_nih10k.yaml,4,0.9944651126861572,6,,,0.9944651126851628,4,anytime_a0plus_s42.csv
earlyexit_vit,a0plus_earlyexit_vit_vits_nih10k.yaml,5,0.9965227246284484,6,,,0.9944651126851628,4,anytime_a0plus_s42.csv
earlyexit_vit,a0plus_earlyexit_vit_vits_nih10k.yaml,6,1.0,6,,,0.9944651126851628,4,anytime_a0plus_s42.csv
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,1,0.7257803678512573,16,1.041253921423955,-0.0412539214239549,0.9411343967188044,4,anytime_a1_s42.csv
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,2,0.8383294343948364,16,1.041253921423955,-0.0412539214239549,0.9411343967188044,4,anytime_a1_s42.csv
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,4,0.9369776844978333,16,1.041253921423955,-0.0412539214239549,0.9411343967188044,4,anytime_a1_s42.csv
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,8,0.9849866032600404,16,1.041253921423955,-0.0412539214239549,0.9411343967188044,4,anytime_a1_s42.csv
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,16,0.9955832958221436,16,1.041253921423955,-0.0412539214239549,0.9411343967188044,4,anytime_a1_s42.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,1,0.6684361100196838,16,1.0258088688182057,-0.0258088688182056,0.940021216868414,4,anytime_a2_S16_s123.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,2,0.8165779113769531,16,1.0258088688182057,-0.0258088688182056,0.940021216868414,4,anytime_a2_S16_s123.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,4,0.9400212168693542,16,1.0258088688182057,-0.0258088688182056,0.940021216868414,4,anytime_a2_S16_s123.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,8,0.9886046051979064,16,1.0258088688182057,-0.0258088688182056,0.940021216868414,4,anytime_a2_S16_s123.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,16,1.0,16,1.0258088688182057,-0.0258088688182056,0.940021216868414,4,anytime_a2_S16_s123.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,1,0.7308782935142517,16,1.0234131334212222,-0.0234131334212222,0.9421993494024392,4,anytime_a2_S16_s2024.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,2,0.8423599004745483,16,1.0234131334212222,-0.0234131334212222,0.9421993494024392,4,anytime_a2_S16_s2024.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,4,0.9421993494033812,16,1.0234131334212222,-0.0234131334212222,0.9421993494024392,4,anytime_a2_S16_s2024.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,8,0.988411009311676,16,1.0234131334212222,-0.0234131334212222,0.9421993494024392,4,anytime_a2_S16_s2024.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,16,1.0,16,1.0234131334212222,-0.0234131334212222,0.9421993494024392,4,anytime_a2_S16_s2024.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,1,0.6830134987831116,16,1.029578418605928,-0.029578418605928,0.9400450587263244,4,anytime_a2_S16_s42.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,2,0.8249944448471069,16,1.029578418605928,-0.029578418605928,0.9400450587263244,4,anytime_a2_S16_s42.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,4,0.9400450587272644,16,1.029578418605928,-0.029578418605928,0.9400450587263244,4,anytime_a2_S16_s42.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,8,0.9888702630996704,16,1.029578418605928,-0.029578418605928,0.9400450587263244,4,anytime_a2_S16_s42.csv
scp_nca,a2_scp_nca_vits_nih10k.yaml,16,1.0,16,1.029578418605928,-0.029578418605928,0.9400450587263244,4,anytime_a2_S16_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S32.yaml,1,0.6312116384506226,32,1.0031609410858784,-0.0031609410858783,0.9528827667226798,8,anytime_a2_S32_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S32.yaml,2,0.7526894211769104,32,1.0031609410858784,-0.0031609410858783,0.9528827667226798,8,anytime_a2_S32_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S32.yaml,4,0.8739021420478821,32,1.0031609410858784,-0.0031609410858783,0.9528827667226798,8,anytime_a2_S32_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S32.yaml,8,0.9528827667236328,32,1.0031609410858784,-0.0031609410858783,0.9528827667226798,8,anytime_a2_S32_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S32.yaml,16,0.988981544971466,32,1.0031609410858784,-0.0031609410858783,0.9528827667226798,8,anytime_a2_S32_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S32.yaml,32,1.0,32,1.0031609410858784,-0.0031609410858783,0.9528827667226798,8,anytime_a2_S32_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S4.yaml,1,0.8495903611183167,4,1.9399421269819128,-0.9399421269819126,0.9269421696653632,2,anytime_a2_S4_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S4.yaml,2,0.9269421696662904,4,1.9399421269819128,-0.9399421269819126,0.9269421696653632,2,anytime_a2_S4_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S4.yaml,4,1.0,4,1.9399421269819128,-0.9399421269819126,0.9269421696653632,2,anytime_a2_S4_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S8.yaml,1,0.7680361866950989,8,1.387497712696818,-0.387497712696818,0.95958423614406,4,anytime_a2_S8_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S8.yaml,2,0.8684879541397095,8,1.387497712696818,-0.387497712696818,0.95958423614406,4,anytime_a2_S8_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S8.yaml,4,0.9595842361450196,8,1.387497712696818,-0.387497712696818,0.95958423614406,4,anytime_a2_S8_s42.csv
scp_nca,a2_scp_nca_vits_nih10k_S8.yaml,8,1.0,8,1.387497712696818,-0.387497712696818,0.95958423614406,4,anytime_a2_S8_s42.csv
