epoch,loss,elapsed_s
1,0.07284193215533517,32.1
2,0.018007798881556552,66.3
3,0.012513124097425204,104.4
4,0.010489440124589376,135.4
5,0.00930127334028769,168.1
6,0.008389798552693369,198.7
7,0.008110294521499712,230.3
8,0.007739559868171524,260.6
9,0.007398706359358935,290.3
10,0.007535585300781979,326.3
11,0.006975861275210404,360.3
12,0.007011546775734482,391.5
13,0.006836311157362966,427.8
14,0.006746901342502007,461.3
15,0.006607887464969491,491.8
16,0.006559166202070908,526.3
17,0.006578734113225857,561.9
18,0.006360401242720679,596.1
19,0.006653053318866744,629.1
20,0.006101017661141948,660.4
21,0.006076826978152474,689.7
22,0.006193332114400199,721.7
23,0.006055649593830681,757.3
24,0.005934162907159099,789.4
25,0.005884467185331652,820.6
26,0.005925376666709781,851.9
27,0.005828565528365568,884.6
28,0.00570047604224573,918.6
29,0.005694914479345943,953.9
30,0.005777401048152779,986.1
31,0.00589087546373216,1016.9
32,0.005609845361994723,1046.3
33,0.005722328904084861,1076.6
34,0.005410363640224274,1105.5
35,0.00572868491200587,1132.5
36,0.005536189849058596,1158.8
37,0.005604103028487701,1186.0
38,0.0055884361947671725,1214.4
39,0.005594822430374244,1244.1
40,0.005829007431972199,1274.7
41,0.005575936439876946,1303.1
42,0.00528957239853648,1331.6
43,0.00551827314372461,1365.0
44,0.005548296917158251,1394.7
45,0.0053708335438456675,1422.7
46,0.005380994868643869,1452.4
47,0.00544467558994746,1490.7
