ur,fire_rate,seed,d_mean,d_std,n_active_pixels,theta,img_size
0.1,0.9,42,nan,nan,0,0.1,64
0.1,0.9,43,nan,nan,0,0.1,64
0.1,0.9,44,nan,nan,0,0.1,64
0.2,0.8,42,nan,nan,0,0.1,64
0.2,0.8,43,nan,nan,0,0.1,64
0.2,0.8,44,nan,nan,0,0.1,64
0.3,0.7,42,nan,nan,0,0.1,64
0.3,0.7,43,nan,nan,0,0.1,64
0.3,0.7,44,nan,nan,0,0.1,64
0.4,0.6,42,nan,nan,0,0.1,64
0.4,0.6,43,nan,nan,0,0.1,64
0.4,0.6,44,nan,nan,0,0.1,64
0.5,0.5,42,nan,nan,0,0.1,64
0.5,0.5,43,nan,nan,0,0.1,64
0.5,0.5,44,nan,nan,0,0.1,64
0.6,0.4,42,nan,nan,0,0.1,64
0.6,0.4,43,nan,nan,0,0.1,64
0.6,0.4,44,nan,nan,0,0.1,64
0.7,0.3,42,nan,nan,0,0.1,64
0.7,0.3,43,nan,nan,0,0.1,64
0.7,0.3,44,nan,nan,0,0.1,64
0.8,0.2,42,nan,nan,0,0.1,64
0.8,0.2,43,nan,nan,0,0.1,64
0.8,0.2,44,nan,nan,0,0.1,64
0.9,0.1,42,nan,nan,0,0.1,64
0.9,0.1,43,nan,nan,0,0.1,64
0.9,0.1,44,nan,nan,0,0.1,64
