tool,n,spearman_rho,rho_p,pearson_r,r_p
IMPROVE,82,0.089402135511377,0.42443912326754707,0.015121789663239578,0.8927390755305747
ImmuneApp,82,0.08338321891315549,0.4564084748754842,-0.04321097335771142,0.6998928964496978
PredIG,82,0.05048163265605148,0.6524219387382877,0.03177665554395229,0.7768672309051234
pTuneos,82,0.015175845088303162,0.8923579396552026,0.1019458416394812,0.36210360255356955
PRIME,82,-0.013485420732724141,0.9042879530693343,-0.0039826331359134794,0.9716724718843236
DeepImmuno,82,-0.0571089609238124,0.6103172053682773,-0.11392424162018933,0.3081493474899522
NOAH,82,-0.060091208930887804,0.5917648321809921,-0.06787733709490175,0.5445687208070219
NeoTImmuML,82,-0.15701426916083816,0.15890860586770217,-0.14411535407640766,0.19644705167554122
deepHLApan,81,-0.2350138049296743,0.03469283897563014,-0.21562774878977575,0.05319985388613903
