config,lr,dropout,seed,val_acc,macro_auc,method,selected_config,ci_low,ci_high,ci_width,deflation_pct,M,sigma_hat,tau
lr=0.001_dp=0.2_s=42,0.001,0.2,42.0,0.796667,0.884192,,,,,,,,,
lr=0.001_dp=0.2_s=123,0.001,0.2,123.0,0.813333,0.901292,,,,,,,,,
lr=0.001_dp=0.2_s=2024,0.001,0.2,2024.0,0.8,0.946922,,,,,,,,,
lr=0.001_dp=0.4_s=42,0.001,0.4,42.0,0.8,0.921471,,,,,,,,,
lr=0.001_dp=0.4_s=123,0.001,0.4,123.0,0.8,0.923336,,,,,,,,,
lr=0.001_dp=0.4_s=2024,0.001,0.4,2024.0,0.806667,0.918976,,,,,,,,,
lr=0.001_dp=0.6_s=42,0.001,0.6,42.0,0.786667,0.886499,,,,,,,,,
lr=0.001_dp=0.6_s=123,0.001,0.6,123.0,0.793333,0.906198,,,,,,,,,
lr=0.001_dp=0.6_s=2024,0.001,0.6,2024.0,0.8,0.915249,,,,,,,,,
lr=0.0003_dp=0.2_s=42,0.0003,0.2,42.0,0.803333,0.918257,,,,,,,,,
lr=0.0003_dp=0.2_s=123,0.0003,0.2,123.0,0.79,0.922498,,,,,,,,,
lr=0.0003_dp=0.2_s=2024,0.0003,0.2,2024.0,0.796667,0.917983,,,,,,,,,
lr=0.0003_dp=0.4_s=42,0.0003,0.4,42.0,0.8,0.911718,,,,,,,,,
lr=0.0003_dp=0.4_s=123,0.0003,0.4,123.0,0.81,0.918654,,,,,,,,,
lr=0.0003_dp=0.4_s=2024,0.0003,0.4,2024.0,0.82,0.92517,,,,,,,,,
lr=0.0003_dp=0.6_s=42,0.0003,0.6,42.0,0.8,0.91748,,,,,,,,,
lr=0.0003_dp=0.6_s=123,0.0003,0.6,123.0,0.803333,0.932117,,,,,,,,,
lr=0.0003_dp=0.6_s=2024,0.0003,0.6,2024.0,0.79,0.921257,,,,,,,,,
_STAT_naive,,,,,,naive,lr=0.0003_dp=0.4_s=2024,0.796701,0.80441,0.007709,0.0,18.0,0.008343,1.0
_STAT_datafission,,,,,,datafission,lr=0.0003_dp=0.4_s=2024,0.792974,0.839225,0.046251,500.0,18.0,0.008343,1.0
_STAT_sqrtM_invalid_INVALID_BASELINE,,,,,,sqrtM_invalid,lr=0.0003_dp=0.4_s=2024,0.788387,0.821091,0.032704,324.2641,18.0,0.008343,1.0
