alpha,nll,dataset
-0.1,0.4919177911623914,edge
-0.05,0.4915805882380692,edge
0.0,0.491259211512506,edge
0.05,0.49095383027588496,edge
0.1,0.4906645976911759,edge
0.15,0.49039165067427937,edge
0.2,0.4901351098142067,edge
0.25,0.4898950793330693,edge
0.3,0.489671647085474,edge
0.35,0.48946488459675447,edge
0.4,0.48927484713930525,edge
0.45,0.48910157384613073,edge
0.5,0.48894508786057284,edge
0.55,0.488805396521047,edge
0.6,0.4886824915794839,edge
0.65,0.4885763494520616,edge
0.7,0.4884869315007019,edge
0.75,0.48841418434371475,edge
0.8,0.48835804019388795,edge
0.85,0.4883184172222497,edge
0.9,0.4882952199456729,edge
0.95,0.4882883396364418,edge
1.0,0.48829765475186987,edge
1.05,0.48832303138202876,edge
1.1,0.48836432371364186,edge
1.15,0.48842137450819223,edge
1.2,0.4884940155923039,edge
1.25,0.48858206835847784,edge
1.3,0.48868534427428784,edge
1.35,0.48880364539818627,edge
-0.1,1.0271436989146179,full_itb
-0.05,1.0230788314714083,full_itb
0.0,1.0190310392932072,full_itb
0.05,1.0150014372549074,full_itb
0.1,1.0109911128229558,full_itb
0.15,1.0070011246894017,full_itb
0.2,1.003032501509083,full_itb
0.25,0.9990862407430513,full_itb
0.3,0.9951633076105999,full_itb
0.35,0.9912646341515176,full_itb
0.4,0.9873911183994638,full_itb
0.45,0.9835436236666522,full_itb
0.5,0.9797229779393469,full_itb
0.55,0.975929973383035,full_itb
0.6,0.9721653659555155,full_itb
0.65,0.9684298751255976,full_itb
0.7,0.9647241836945646,full_itb
0.75,0.9610489377171085,full_itb
0.8,0.9574047465180148,full_itb
0.85,0.9537921828005179,full_itb
0.9,0.950211782841944,full_itb
0.95,0.9466640467719967,full_itb
1.0,0.943149438928845,full_itb
1.05,0.9396683882880165,full_itb
1.1,0.9362212889589963,full_itb
1.15,0.9328085007443733,full_itb
1.2,0.929430349756358,full_itb
1.25,0.926087129085519,full_itb
1.3,0.9227790995166401,full_itb
1.35,0.9195064902866926,full_itb
